"container.title","created","deposited","published.print","doi","indexed","issued","member","prefix","publisher","score","source","reference.count","references.count","is.referenced.by.count","title","type","url"
"MorphoSource Media","2019-06-13","2019-06-13","2019","10.17602/m2/m72976","2022-03-29","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M40405-72976","dataset","http://dx.doi.org/10.17602/m2/m72976"
"MorphoSource Media","2018-01-25","2018-01-25","2015","10.17602/m2/m5147","2022-03-29","2015","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M5147 from Lucas &amp; Copes MCZ scans","dataset","http://dx.doi.org/10.17602/m2/m5147"
"MorphoSource Media","2019-08-15","2019-08-15","2019","10.17602/m2/m20295","2022-03-29","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M12385-20295","dataset","http://dx.doi.org/10.17602/m2/m20295"
"MorphoSource Media","2018-01-25","2018-01-25","2016","10.17602/m2/m8545","2022-03-29","2016","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M8545 from First North American Fossil Monkey and Early Miocene Tropical Biotic Interchange","dataset","http://dx.doi.org/10.17602/m2/m8545"
"MorphoSource Media","2021-10-19","2021-10-19","2021","10.17602/m2/m390355","2022-03-29","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Dentary/Mandibular Specimen [CTImageSeries] [CT]","dataset","http://dx.doi.org/10.17602/m2/m390355"
"MorphoSource Media","2021-11-17","2021-11-17","2021","10.17602/m2/m158183","2022-03-29","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Skull [Mesh] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m158183"
"MorphoSource Media","2020-02-28","2020-02-28","2020","10.17602/m2/m57488","2022-03-29","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M16045-57488","dataset","http://dx.doi.org/10.17602/m2/m57488"
"MorphoSource Media","2020-09-17","2020-09-17","2020","10.17602/m2/m155176","2022-03-29","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M79522-155176","dataset","http://dx.doi.org/10.17602/m2/m155176"
"MorphoSource Media","2021-11-24","2021-11-24","2021","10.17602/m2/m346110","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Right Anterior Maxilla [Mesh] [CT]","dataset","http://dx.doi.org/10.17602/m2/m346110"
"MorphoSource Media","2018-01-25","2018-01-25","2017","10.17602/m2/m26201","2022-03-30","2017","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M14632-26201","dataset","http://dx.doi.org/10.17602/m2/m26201"
"MorphoSource Media","2018-08-11","2018-08-11","2018","10.17602/m2/m38954","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M20551-38954","dataset","http://dx.doi.org/10.17602/m2/m38954"
"MorphoSource Media","2018-01-25","2018-01-25","2016","10.17602/m2/m9969","2022-03-30","2016","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M9969 from DNMNH Archive","dataset","http://dx.doi.org/10.17602/m2/m9969"
