"institution","id","doi","publisher","publicationYear","resourceType","resourceTypeGeneral","url","metadataVersion","citationCount","versionCount","registered","subjects","dates","relatedIdentifiers","sizes","rightsList","descriptions","geoLocations","fundingReferences","formats","titles","creators","language","container.title","publisher_plus","group"
"Minnesota","10.13020/d6159v","10.13020/d6159v","Data Repository for the University of Minnesota (DRUM)","2014","Spatial Data||Video or Animation||Map","Dataset","http://hdl.handle.net/11299/167997",2,1,0,"2014-11-25T17:28:39Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6wc7x","10.13020/d6wc7x","Data Repository for the University of Minnesota (DRUM)","2014","Observational Data","Dataset","http://hdl.handle.net/11299/167932",2,0,0,"2014-11-25T20:40:38Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6rp4n","10.13020/d6rp4n","Data Repository for the University of Minnesota (DRUM)","2014","Software Code||Observational Data","Dataset","http://hdl.handle.net/11299/164048",2,1,0,"2014-12-08T16:14:46Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6mw2q","10.13020/d6mw2q","Data Repository for the University of Minnesota (DRUM)","2014","Spatial Data||Report","Dataset","http://hdl.handle.net/11299/168064",3,0,0,"2014-12-08T21:45:16Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6h596","10.13020/d6h596","Data Repository for the University of Minnesota (DRUM)","2014","Human Subjects Data||Video or Animation","Dataset","http://hdl.handle.net/11299/160534",2,0,0,"2014-12-30T17:39:24Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6cc78","10.13020/d6cc78","Data Repository for the University of Minnesota (DRUM)","2014","Spatial Data||Observational Data||Map","Dataset","http://hdl.handle.net/11299/162818",2,1,0,"2014-12-30T17:43:04Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d67p40","10.13020/d67p40","Data Repository for the University of Minnesota (DRUM)","2014","Spatial Data||Map","Dataset","http://hdl.handle.net/11299/162667",2,1,0,"2014-12-30T17:45:23Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d63w22","10.13020/d63w22","Data Repository for the University of Minnesota (DRUM)","2014","Spatial Data||Map","Dataset","http://hdl.handle.net/11299/162666",2,1,0,"2014-12-30T17:47:11Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6059j","10.13020/d6059j","Data Repository for the University of Minnesota (DRUM)","2014","Observational Data||Map","Dataset","http://hdl.handle.net/11299/160503",5,1,0,"2014-12-30T17:50:21Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6vc7m","10.13020/d6vc7m","Data Repository for the University of Minnesota (DRUM)","2014","Field Study Data","Dataset","http://hdl.handle.net/11299/160749",3,0,0,"2014-12-30T17:54:35Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6qp4b","10.13020/d6qp4b","Data Repository for the University of Minnesota (DRUM)","2014","Survey Data-Quantitative||Human Subjects Data","Dataset","http://hdl.handle.net/11299/160507",4,0,0,"2014-12-30T17:57:09Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6kw2d","10.13020/d6kw2d","Data Repository for the University of Minnesota (DRUM)","2014","Experimental Data","Dataset","http://hdl.handle.net/11299/160551",4,1,0,"2014-12-30T18:03:33Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6g59w","10.13020/d6g59w","Data Repository for the University of Minnesota (DRUM)","2014","Software Code||Observational Data","Dataset","http://hdl.handle.net/11299/163012",2,1,0,"2014-12-30T21:34:37Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6bc7z","10.13020/d6bc7z","Data Repository for the University of Minnesota (DRUM)","2015","Spatial Data||Observational Data||Image","Dataset","http://hdl.handle.net/11299/170139",3,0,0,"2015-03-04T16:08:39Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d66p4p","10.13020/d66p4p","Data Repository for the University of Minnesota (DRUM)","2015","Field Study Data||Experimental Data","Dataset","http://hdl.handle.net/11299/169873",2,1,0,"2015-03-30T19:41:12Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6301q","10.13020/d6301q","Data Repository for the University of Minnesota (DRUM)","2015","Experimental Data||Genomics Data","Dataset","http://hdl.handle.net/11299/170817",2,0,0,"2015-03-30T20:55:48Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6z597","10.13020/d6z597","Data Repository for the University of Minnesota (DRUM)","2015","Software Code||Field Study Data||Map","Dataset","http://hdl.handle.net/11299/170863",2,1,0,"2015-04-01T21:19:04Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
"Minnesota","10.13020/d6tg6z","10.13020/d6tg6z","Data Repository for the University of Minnesota (DRUM)","2015","Human Subjects Data","Dataset","http://hdl.handle.net/11299/170875",3,0,0,"2015-04-10T21:20:17Z",<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,<list>,NA,NA,"Minnesota","IR_publisher"
