"institution","id","type","doi","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue"
"Cornell","10.5061/dryad.8h154h65","dois","10.5061/dryad.8h154h65","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.8h154h65",16,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,302,115,1,1,22,0,0,0,"2011-10-28T18:12:41.000Z","2011-10-28T18:12:41.000Z","2012","2020-07-28T04:31:47.000Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.8h154h65","dois","10.5061/dryad.8h154h65","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.8h154h65",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,387,134,1,1,22,0,0,0,"2011-10-28T18:12:41Z","2011-10-28T18:12:41Z",NA,"2022-06-01T22:10:51Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.31sn1q0j","dois","10.5061/dryad.31sn1q0j","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.31sn1q0j",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,82,18,1,1,1,0,0,0,"2012-01-18T21:14:48Z","2012-01-18T21:14:48Z",NA,"2022-06-01T09:16:54Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.3q3b7740","dois","10.5061/dryad.3q3b7740","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.3q3b7740",22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,174,45,1,1,2,0,0,0,"2012-02-09T17:01:44Z","2012-02-09T17:01:43Z",NA,"2022-06-01T22:14:16Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.q0740kp8","dois","10.5061/dryad.q0740kp8","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.q0740kp8",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,172,50,1,1,6,0,0,0,"2012-02-10T16:13:43Z","2012-02-10T16:13:43Z",NA,"2022-05-31T19:07:53Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.bn52n3br","dois","10.5061/dryad.bn52n3br","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.bn52n3br",21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,92,3,1,1,1,0,0,0,"2012-02-29T20:47:44Z","2012-02-29T20:47:44Z",NA,"2022-06-01T12:15:12Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.789p7jb3","dois","10.5061/dryad.789p7jb3","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.789p7jb3",21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,165,26,1,1,1,0,0,0,"2012-03-05T20:03:53Z","2012-03-05T20:03:53Z",NA,"2022-06-01T07:53:51Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.t6s441n0","dois","10.5061/dryad.t6s441n0","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.t6s441n0",18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,94,11,1,1,1,0,0,0,"2012-03-30T17:23:39Z","2012-03-30T17:23:37Z",NA,"2022-06-01T15:05:06Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.bn5v3cm5","dois","10.5061/dryad.bn5v3cm5","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.bn5v3cm5",19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,341,162,1,1,3,0,0,0,"2012-04-12T16:28:54Z","2012-04-12T16:28:54Z",NA,"2022-06-01T02:19:47Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.s3937","dois","10.5061/dryad.s3937","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.s3937",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,148,25,1,1,1,0,0,0,"2012-04-20T16:19:23Z","2012-04-20T16:19:23Z",NA,"2022-06-01T08:17:17Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.gd856","dois","10.5061/dryad.gd856","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.gd856",19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,392,98,1,1,6,0,0,0,"2012-04-25T17:05:56Z","2012-04-25T17:05:54Z",NA,"2022-06-01T03:07:23Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.n3f4g","dois","10.5061/dryad.n3f4g","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.n3f4g",21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,175,46,1,1,1,0,0,0,"2012-04-27T16:56:00Z","2012-04-27T16:55:59Z",NA,"2022-06-01T04:37:38Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.77hn0","dois","10.5061/dryad.77hn0","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.77hn0",18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,108,10,1,1,2,0,0,0,"2012-05-10T14:42:45Z","2012-05-10T14:42:45Z",NA,"2022-06-01T14:16:24Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.6kb0v","dois","10.5061/dryad.6kb0v","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.6kb0v",18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,50,7,1,1,1,0,0,0,"2012-05-22T19:10:49Z","2012-05-22T19:10:49Z",NA,"2022-06-01T08:55:52Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.jc76f","dois","10.5061/dryad.jc76f","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.jc76f",21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,140,10,1,1,1,0,0,0,"2012-06-08T17:45:48Z","2012-06-08T17:45:45Z",NA,"2022-06-01T03:36:26Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.v82jf","dois","10.5061/dryad.v82jf","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.v82jf",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,67,13,1,1,3,0,0,0,"2012-06-11T17:56:20Z","2012-06-11T17:56:20Z",NA,"2022-06-01T08:17:57Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.j35fc","dois","10.5061/dryad.j35fc","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j35fc",23,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,213,35,1,1,2,0,0,0,"2012-06-12T16:40:01Z","2012-06-12T16:40:00Z",NA,"2022-06-01T22:17:35Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.6331s","dois","10.5061/dryad.6331s","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.6331s",18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,244,24,1,2,1,0,0,0,"2012-08-15T18:29:29Z","2012-08-15T18:29:29Z",NA,"2022-06-01T09:00:16Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.b6k41","dois","10.5061/dryad.b6k41","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.b6k41",12,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,120,22,1,1,2,0,0,0,"2012-08-30T14:07:59Z","2012-08-30T14:03:35Z",NA,"2022-06-01T19:39:09Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.44cb5","dois","10.5061/dryad.44cb5","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.44cb5",10,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,226,149,1,1,1,0,0,0,"2012-08-30T18:56:03Z","2012-08-30T18:56:03Z",NA,"2022-06-01T19:39:22Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.fv21h","dois","10.5061/dryad.fv21h","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.fv21h",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,321,89,1,1,5,0,0,0,"2012-09-06T19:12:15Z","2012-09-06T19:12:15Z",NA,"2022-05-31T23:35:20Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.68v7r","dois","10.5061/dryad.68v7r","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.68v7r",14,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,183,89,1,1,3,0,0,0,"2012-09-13T14:37:04Z","2012-09-13T14:37:02Z",NA,"2022-06-01T02:29:25Z","dryad.dryad","clients",NA
"Cornell","10.5061/dryad.c8m2k","dois","10.5061/dryad.c8m2k","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.c8m2k",11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,130,36,1,1,3,0,0,0,"2012-10-10T19:00:08Z","2012-10-10T19:00:08Z",NA,"2022-06-01T04:20:36Z","dryad.dryad","clients",NA
"Cornell","10.5063/aa/golo.5.2","dois","10.5063/aa/golo.5.2","KNB Data Repository",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/golo.5.2",4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:23:20.000Z","2012-11-05T23:23:22.000Z","2012","2020-06-29T06:50:51.000Z","cdl.ucsb","clients",NA
"Cornell","10.5063/aa/golo.5.3","dois","10.5063/aa/golo.5.3","KNB Data Repository",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/golo.5.3",4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:23:24.000Z","2012-11-05T23:23:25.000Z","2012","2020-06-29T06:50:51.000Z","cdl.ucsb","clients",NA
"Cornell","10.5063/aa/golo.5.4","dois","10.5063/aa/golo.5.4","KNB Data Repository",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/golo.5.4",4,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:23:28.000Z","2012-11-05T23:23:29.000Z","2012","2020-06-29T06:50:51.000Z","cdl.ucsb","clients",NA
"Cornell","10.5063/aa/golo.5.5","dois","10.5063/aa/golo.5.5","KNB Data Repository",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset",NA,"Dataset",NA,"https://knb.ecoinformatics.org/view/doi:10.5063/AA/golo.5.5",8,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-11-05T23:23:31.000Z","2012-11-05T23:23:33.000Z","2012","2020-06-29T06:50:51.000Z","cdl.ucsb","clients",NA
