"container.title","created","deposited","published.print","doi","indexed","issued","member","prefix","publisher","score","source","reference.count","references.count","is.referenced.by.count","title","type","url"
"MorphoSource Media","2020-04-17","2020-04-17","2020","10.17602/m2/m48903","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M24856-48903","dataset","http://dx.doi.org/10.17602/m2/m48903"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m15481","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10521-15481","dataset","http://dx.doi.org/10.17602/m2/m15481"
"MorphoSource Media","2018-01-25","2018-01-25","2017","10.17602/m2/m20768","2022-03-30","2017","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M12597-20768","dataset","http://dx.doi.org/10.17602/m2/m20768"
"MorphoSource Media","2018-01-25","2018-01-25","2016","10.17602/m2/m9964","2022-03-30","2016","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M9964 from DNMNH Archive","dataset","http://dx.doi.org/10.17602/m2/m9964"
"MorphoSource Media","2021-05-24","2021-05-24","2021","10.17602/m2/m350968","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Rib 19 [Mesh] [Synchro]","dataset","http://dx.doi.org/10.17602/m2/m350968"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m14365","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10080-14365","dataset","http://dx.doi.org/10.17602/m2/m14365"
"MorphoSource Media","2021-10-18","2021-10-18","2021","10.17602/m2/m381647","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","P4 [Mesh] [CT]","dataset","http://dx.doi.org/10.17602/m2/m381647"
"MorphoSource Media","2018-01-25","2018-01-25","2015","10.17602/m2/m5206","2022-03-30","2015","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M5206 from Lucas &amp; Copes MCZ scans","dataset","http://dx.doi.org/10.17602/m2/m5206"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m34137","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M18030-34137","dataset","http://dx.doi.org/10.17602/m2/m34137"
"MorphoSource Media","2018-12-13","2018-12-13","2018","10.17602/m2/m65476","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M35480-65476","dataset","http://dx.doi.org/10.17602/m2/m65476"
"MorphoSource Media","2018-09-25","2018-09-25","2018","10.17602/m2/m10594","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M8402-10594","dataset","http://dx.doi.org/10.17602/m2/m10594"
"MorphoSource Media","2019-08-15","2019-08-15","2019","10.17602/m2/m19326","2022-03-30","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M12002-19326","dataset","http://dx.doi.org/10.17602/m2/m19326"
"MorphoSource Media","2021-05-05","2021-05-05","2021","10.17602/m2/m351405","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Facial Nerve Model [Mesh] [CT]","dataset","http://dx.doi.org/10.17602/m2/m351405"
"MorphoSource Media","2021-11-01","2021-11-01","2021","10.17602/m2/m392595","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Skull [Mesh] [StrLight]","dataset","http://dx.doi.org/10.17602/m2/m392595"
"MorphoSource Media","2018-08-27","2018-08-27","2018","10.17602/m2/m14289","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10048-14289","dataset","http://dx.doi.org/10.17602/m2/m14289"
"MorphoSource Media","2018-08-11","2018-08-11","2018","10.17602/m2/m54468","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M28154-54468","dataset","http://dx.doi.org/10.17602/m2/m54468"
