"institution","id","type","DOI","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","URL","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Duke","10.5061/dryad.j1g5dh23","dois","10.5061/dryad.j1g5dh23","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j1g5dh23",12,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,167,40,1,1,3,0,0,0,"2011-10-19T16:08:06.000Z","2011-10-19T16:08:06.000Z","2012","2020-07-28T04:31:59.000Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.j1g5dh23","dois","10.5061/dryad.j1g5dh23","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j1g5dh23",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,183,42,1,1,3,0,0,0,"2011-10-19T16:08:06Z","2011-10-19T16:08:06Z",NA,"2022-06-01T00:13:30Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.3mt58823","dois","10.5061/dryad.3mt58823","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.3mt58823",11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,156,55,1,1,3,0,0,0,"2011-12-08T18:40:22.000Z","2011-12-08T18:40:22.000Z","2012","2020-07-28T06:39:22.000Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.3mt58823","dois","10.5061/dryad.3mt58823","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.3mt58823",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,176,55,1,1,3,0,0,0,"2011-12-08T18:40:22Z","2011-12-08T18:40:22Z",NA,"2022-06-01T22:12:19Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.qv42j11b","dois","10.5061/dryad.qv42j11b","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.qv42j11b",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,157,14,1,1,1,0,0,0,"2012-01-04T17:26:54Z","2012-01-04T17:26:53Z",NA,"2022-06-01T08:04:58Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.p462j4f3","dois","10.5061/dryad.p462j4f3","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.p462j4f3",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,107,42,1,1,1,0,0,0,"2012-03-09T19:27:46Z","2012-03-09T19:27:45Z",NA,"2022-06-01T00:29:19Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.5k3t47p0","dois","10.5061/dryad.5k3t47p0","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.5k3t47p0",30,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,623,162,1,1,1,0,0,0,"2012-04-09T16:04:29Z","2012-04-09T16:04:27Z",NA,"2022-06-01T22:16:08Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.6pq7jg8p","dois","10.5061/dryad.6pq7jg8p","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.6pq7jg8p",17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,53,6,1,1,1,0,0,0,"2012-04-25T18:19:37Z","2012-04-25T18:19:37Z",NA,"2022-06-01T07:34:32Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.27q72","dois","10.5061/dryad.27q72","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.27q72",22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,151,44,1,1,13,0,0,0,"2012-04-27T18:02:16Z","2012-04-27T18:02:13Z",NA,"2022-06-01T22:16:22Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.s0n20","dois","10.5061/dryad.s0n20","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.s0n20",17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,49,12,1,1,1,0,0,0,"2012-05-03T15:47:37Z","2012-05-03T15:47:37Z",NA,"2022-06-01T07:43:58Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.68mj4","dois","10.5061/dryad.68mj4","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.68mj4",21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,523,159,1,1,8,0,0,0,"2012-06-12T14:57:49Z","2012-06-12T14:57:48Z",NA,"2022-06-01T06:08:13Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.36md8","dois","10.5061/dryad.36md8","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.36md8",24,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,116,19,1,1,1,0,0,0,"2012-06-22T17:22:47Z","2012-06-22T17:22:46Z",NA,"2022-06-01T22:17:17Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.c744j","dois","10.5061/dryad.c744j","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.c744j",17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,84,10,1,2,5,0,0,0,"2012-06-27T16:12:20Z","2012-06-27T16:12:18Z",NA,"2022-05-31T23:02:01Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.f76f3","dois","10.5061/dryad.f76f3","Dryad",NA,NA,NA,NA,NA,NA,NA,"2013","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.f76f3",22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,109,33,1,1,1,0,0,0,"2012-06-27T17:08:28Z","2012-06-27T17:08:28Z",NA,"2022-06-01T22:18:23Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.j2r64","dois","10.5061/dryad.j2r64","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j2r64",18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,678,419,1,1,5,0,0,0,"2012-06-28T18:27:53Z","2012-06-28T18:27:52Z",NA,"2022-06-01T22:08:31Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.sn5r5","dois","10.5061/dryad.sn5r5","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.sn5r5",16,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,45,1,1,1,1,0,0,0,"2012-07-06T18:59:38Z","2012-07-06T18:59:36Z",NA,"2022-06-01T22:18:33Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.j5r33","dois","10.5061/dryad.j5r33","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j5r33",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,103,24,1,1,1,0,0,0,"2012-07-10T20:05:03Z","2012-07-10T20:05:03Z",NA,"2022-06-01T14:29:03Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5061/dryad.kc6m8","dois","10.5061/dryad.kc6m8","Dryad",NA,NA,NA,NA,NA,NA,NA,"2013","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.kc6m8",13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,365,208,1,1,17,0,0,0,"2012-08-07T20:19:10Z","2012-08-07T20:19:08Z",NA,"2022-06-01T22:20:06Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
