"institution","id","type","DOI","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","URL","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Virginia Tech","10.5061/dryad.17gk0","dois","10.5061/dryad.17gk0","Dryad",NA,NA,NA,NA,NA,NA,NA,"2013","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.17gk0",26,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,235,58,1,2,2,0,0,0,"2012-06-20T17:33:33Z","2012-06-20T17:33:32Z",NA,"2022-05-31T23:55:00Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.6c7v5","dois","10.5061/dryad.6c7v5","Dryad",NA,NA,NA,NA,NA,NA,NA,"2012","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.6c7v5",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,105,43,1,1,3,0,0,0,"2012-11-14T15:36:16Z","2012-11-14T15:36:16Z",NA,"2022-06-01T01:28:22Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.hk2v3","dois","10.5061/dryad.hk2v3","Dryad",NA,NA,NA,NA,NA,NA,NA,"2013","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.hk2v3",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,113,29,1,1,2,0,0,0,"2013-02-28T15:22:22Z","2013-02-28T15:22:23Z",NA,"2022-06-01T06:14:03Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.p3878","dois","10.5061/dryad.p3878","Dryad",NA,NA,NA,NA,NA,NA,NA,"2013","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.p3878",23,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,124,42,1,1,3,0,0,0,"2013-08-08T17:14:57Z","2013-08-08T17:14:58Z",NA,"2022-06-01T01:36:40Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.112cs","dois","10.5061/dryad.112cs","Dryad",NA,NA,NA,NA,NA,NA,NA,"2014","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.112cs",19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,80,7,1,1,1,0,0,0,"2013-11-22T18:30:07Z","2013-11-22T18:30:08Z",NA,"2022-06-01T20:05:18Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.hb87k","dois","10.5061/dryad.hb87k","Dryad",NA,NA,NA,NA,NA,NA,NA,"2014","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.hb87k",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,113,21,1,1,1,0,0,0,"2013-12-10T16:40:55Z","2013-12-10T16:40:57Z",NA,"2022-06-01T11:43:40Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.1p888","dois","10.5061/dryad.1p888","Dryad",NA,NA,NA,NA,NA,NA,NA,"2015","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.1p888",24,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,49,5,1,1,1,0,0,0,"2014-03-19T17:11:16Z","2014-03-19T17:11:17Z",NA,"2022-05-31T19:52:49Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.7sb0f","dois","10.5061/dryad.7sb0f","Dryad",NA,NA,NA,NA,NA,NA,NA,"2014","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.7sb0f",22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,135,25,2,2,4,0,0,0,"2014-04-15T19:22:46Z","2014-04-15T19:22:47Z",NA,"2022-05-31T20:28:31Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.j248q","dois","10.5061/dryad.j248q","Dryad",NA,NA,NA,NA,NA,NA,NA,"2014","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j248q",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,317,90,1,1,6,0,0,0,"2014-04-16T19:44:13Z","2014-04-16T19:44:15Z",NA,"2022-06-01T09:55:51Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Tech","10.5061/dryad.8t581","dois","10.5061/dryad.8t581","Dryad",NA,NA,NA,NA,NA,NA,NA,"2015","en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.8t581",18,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,36,5,1,1,1,0,0,0,"2014-07-10T15:19:00Z","2014-07-10T15:19:01Z",NA,"2022-06-01T13:26:59Z","dryad.dryad","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
