"institution","id","type","doi","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue"
"Washington U","10.5061/dryad.sh7rm2pt","dois","10.5061/dryad.sh7rm2pt","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.sh7rm2pt",16,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,240,40,1,1,1,0,0,0,"2012-01-05T21:34:20Z","2012-01-05T21:34:20Z",NA,"2022-06-01T00:32:41Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.rq6874m6","dois","10.5061/dryad.rq6874m6","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.rq6874m6",22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,88,20,1,1,1,0,0,0,"2012-03-20T16:05:58Z","2012-03-20T16:05:57Z",NA,"2022-06-01T06:37:50Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.ks6g0","dois","10.5061/dryad.ks6g0","Dryad",NA,NA,NA,NA,NA,NA,NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.ks6g0",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,98,28,1,1,3,0,0,0,"2012-05-08T18:26:14Z","2012-05-08T18:26:14Z",NA,"2022-06-01T04:17:14Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.qq08m","dois","10.5061/dryad.qq08m","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.qq08m",14,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,117,43,1,1,1,0,0,0,"2012-11-20T17:09:20Z","2012-11-20T17:09:20Z",NA,"2022-06-01T09:30:25Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.g5jj6","dois","10.5061/dryad.g5jj6","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.g5jj6",17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,224,109,1,1,6,0,0,0,"2013-01-18T15:55:42Z","2013-01-18T15:55:43Z",NA,"2022-06-01T02:27:29Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.ps736","dois","10.5061/dryad.ps736","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.ps736",25,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,84,12,1,1,1,0,0,0,"2013-03-01T15:45:27Z","2013-03-01T15:45:28Z",NA,"2022-06-01T05:59:38Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.5v2dj","dois","10.5061/dryad.5v2dj","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.5v2dj",11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,247,4,1,1,1,0,0,0,"2013-03-28T18:39:48Z","2013-03-28T18:39:49Z",NA,"2022-06-01T00:57:40Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.rp321","dois","10.5061/dryad.rp321","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.rp321",11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,174,72,1,1,3,0,0,0,"2013-04-03T15:24:04Z","2013-04-03T15:24:06Z",NA,"2022-06-01T12:38:20Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.8f6nq","dois","10.5061/dryad.8f6nq","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.8f6nq",15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,250,156,1,1,8,0,0,0,"2013-04-30T16:44:10Z","2013-04-30T16:44:12Z",NA,"2022-06-01T06:26:44Z","dryad.dryad","clients",NA
"Washington U","10.5061/dryad.4d236","dois","10.5061/dryad.4d236","Dryad",NA,NA,NA,NA,NA,NA,NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.4d236",17,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,135,36,1,2,2,0,0,0,"2013-05-24T14:52:38Z","2013-05-24T14:52:39Z",NA,"2022-10-04T08:55:39Z","dryad.dryad","clients",NA
