"institution","id","type","DOI","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","URL","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Cornell","10.5281/zenodo.9980","dois","10.5281/zenodo.9980","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/9980",9,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2014-05-19T13:53:24Z","2014-05-19T13:53:25Z",NA,"2020-07-26T16:26:33Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.10680","dois","10.5281/zenodo.10680","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/10680",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-06-30T07:08:03Z","2014-06-30T07:08:04Z",NA,"2020-07-26T16:37:01Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.10681","dois","10.5281/zenodo.10681","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/10681",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-06-30T07:08:31Z","2014-06-30T07:08:32Z",NA,"2020-07-26T16:37:01Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.10694","dois","10.5281/zenodo.10694","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/10694",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-06-30T07:14:40Z","2014-06-30T07:14:41Z",NA,"2020-07-26T16:37:03Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.10714","dois","10.5281/zenodo.10714","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/10714",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-06-30T21:44:24Z","2014-06-30T21:44:24Z",NA,"2020-07-26T16:37:14Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.11451","dois","10.5281/zenodo.11451","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/11451",5,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,2,0,0,0,0,1,"2014-08-26T21:08:34Z","2014-08-26T21:08:35Z",NA,"2022-10-08T09:50:59Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.11721","dois","10.5281/zenodo.11721","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/11721",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-09-13T21:58:59Z","2014-09-13T21:58:59Z",NA,"2020-07-26T16:50:18Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.11969","dois","10.5281/zenodo.11969","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/11969",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-10-05T22:58:31Z","2014-10-05T22:58:32Z",NA,"2020-07-26T16:52:58Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.12287","dois","10.5281/zenodo.12287","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/12287",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,8,0,1,0,0,0,0,1,"2014-10-22T10:08:34Z","2014-10-22T10:08:35Z",NA,"2022-10-08T09:51:00Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.12400","dois","10.5281/zenodo.12400","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/12400",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,9,0,1,0,0,0,0,1,"2014-10-26T03:27:42Z","2014-10-26T03:27:43Z",NA,"2022-10-08T09:51:00Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.12723","dois","10.5281/zenodo.12723","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/12723",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,4,0,1,0,0,0,0,1,"2014-11-19T15:39:34Z","2014-11-19T15:39:34Z",NA,"2022-08-12T12:29:56Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.12803","dois","10.5281/zenodo.12803","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/12803",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-11-20T21:07:17Z","2014-11-20T21:07:18Z",NA,"2020-07-26T18:01:10Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","10.5281/zenodo.12888","dois","10.5281/zenodo.12888","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/12888",2,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2014-11-26T03:39:26Z","2014-11-26T03:39:26Z",NA,"2020-07-26T18:10:30Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
