"institution","id","type","DOI","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","URL","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue","group","member","reference-count","title","created.date-parts2","created.date-parts3","created.date-time","created.timestamp","name","doi","url","container.title","publisher_plus"
"Duke","10.5281/zenodo.9818","dois","10.5281/zenodo.9818","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/9818",9,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2014-05-15T06:49:57Z","2014-05-15T06:49:57Z",NA,"2020-07-26T16:25:23Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.10247","dois","10.5281/zenodo.10247","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/10247",9,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2014-06-01T03:45:21Z","2014-06-01T03:45:22Z",NA,"2020-07-26T16:32:04Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.11989","dois","10.5281/zenodo.11989","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/11989",11,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,1,0,1,0,0,0,0,1,"2014-10-07T19:09:16Z","2014-10-07T19:09:17Z",NA,"2020-07-26T16:53:21Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.12471","dois","10.5281/zenodo.12471","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/12471",10,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2014-10-29T12:28:29Z","2014-10-29T12:28:29Z",NA,"2020-07-26T17:05:43Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.13009","dois","10.5281/zenodo.13009","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2014",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/13009",10,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,0,0,"2014-12-01T23:44:05Z","2014-12-01T23:44:06Z",NA,"2020-07-26T18:15:59Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.16179","dois","10.5281/zenodo.16179","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2015",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/16179",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2015-03-19T02:27:38Z","2015-03-19T02:27:39Z",NA,"2022-10-06T15:11:46Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.16344","dois","10.5281/zenodo.16344","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2015",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/16344",3,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2015-03-25T20:47:47Z","2015-03-25T20:47:47Z",NA,"2020-07-27T03:38:24Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.17739","dois","10.5281/zenodo.17739","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2015",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v5.3","https://zenodo.org/record/17739",9,NA,"mds",TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2015-05-18T21:14:16Z","2015-05-18T21:14:17Z",NA,"2020-07-27T04:18:07Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.29892","dois","10.5281/zenodo.29892","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2015",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/29892",2,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2015-08-29T01:31:47Z","2015-08-29T01:31:48Z",NA,"2020-07-27T13:40:16Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duke","10.5281/zenodo.46372","dois","10.5281/zenodo.46372","Zenodo",NA,NA,NA,NA,NA,NA,NA,"2016",NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","3.2.7","https://zenodo.org/record/46372",9,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,11,0,1,0,0,0,0,1,"2016-02-22T06:57:54Z","2016-02-22T06:57:54Z",NA,"2021-06-26T20:13:06Z","cern.zenodo","clients",NA,"Affiliation - Datacite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
