"institution","id","type","doi","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue"
"Michigan","10.5281/zenodo.7126","dois","10.5281/zenodo.7126","Zenodo",NA,NA,NA,NA,NA,NA,NA,2013,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/7126",4,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,0,1,0,0,0,0,"2013-09-26T16:27:54.000Z","2013-09-26T16:27:54.000Z","2013","2020-07-28T08:11:13.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3383253","dois","10.5281/zenodo.3383253","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","0.8.0","https://zenodo.org/record/3383253",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-09-01T18:37:26.000Z","2019-09-01T18:37:27.000Z","2019","2020-07-29T23:40:06.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3404757","dois","10.5281/zenodo.3404757","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v0.19.3","https://zenodo.org/record/3404757",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-09-11T08:49:43.000Z","2019-09-11T08:49:44.000Z","2019","2020-07-30T00:22:01.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3407708","dois","10.5281/zenodo.3407708","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.0.0","https://zenodo.org/record/3407708",3,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,1,0,0,0,0,0,0,0,"2019-09-13T15:33:55Z","2019-09-13T15:33:56Z",NA,"2022-04-01T15:16:46Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3407707","dois","10.5281/zenodo.3407707","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.0.0","https://zenodo.org/record/3407707",3,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-09-13T15:33:56Z","2019-09-13T15:33:56Z",NA,"2022-04-01T15:16:48Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3473963","dois","10.5281/zenodo.3473963","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.0","https://zenodo.org/record/3473963",0,NA,"mds",TRUE,"findable",NA,2,0,0,0,0,0,0,0,"2019-10-05T18:16:30.000Z","2019-10-05T18:16:31.000Z","2019","2020-07-30T05:52:21.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3473962","dois","10.5281/zenodo.3473962","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.0","https://zenodo.org/record/3473962",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-10-05T18:16:31.000Z","2019-10-05T18:16:31.000Z","2019","2020-07-30T05:52:22.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3479573","dois","10.5281/zenodo.3479573","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.5.0","https://zenodo.org/record/3479573",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-10-10T16:30:26.000Z","2019-10-10T16:30:27.000Z","2019","2020-07-30T06:14:16.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3483144","dois","10.5281/zenodo.3483144","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","0.7.0","https://zenodo.org/record/3483144",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-10-11T18:27:42.000Z","2019-10-11T18:27:42.000Z","2019","2020-07-30T06:25:55.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3497463","dois","10.5281/zenodo.3497463","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","0.7.1","https://zenodo.org/record/3497463",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-10-17T17:49:18.000Z","2019-10-17T17:49:19.000Z","2019","2020-07-30T06:46:10.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3516460","dois","10.5281/zenodo.3516460","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.0","https://zenodo.org/record/3516460",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-10-23T02:36:11.000Z","2019-10-23T02:36:11.000Z","2019","2020-07-30T07:05:45.000Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3518421","dois","10.5281/zenodo.3518421","Zenodo",NA,NA,NA,NA,NA,NA,NA,2022,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v2.7.4","https://zenodo.org/record/3518421",20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,1,0,0,0,19,0,"2019-10-24T20:16:26Z","2019-10-24T20:16:27Z",NA,"2022-05-22T18:06:01Z","cern.zenodo","clients",NA
"Michigan","10.5281/zenodo.3518422","dois","10.5281/zenodo.3518422","Zenodo",NA,NA,NA,NA,NA,NA,NA,2019,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software","v1.0","https://zenodo.org/record/3518422",0,NA,"mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2019-10-24T20:16:26.000Z","2019-10-24T20:16:26.000Z","2019","2020-07-30T07:26:11.000Z","cern.zenodo","clients",NA
