"institution","id","type","doi","publisher","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_issue"
"Virginia Tech","10.5281/zenodo.46717","dois","10.5281/zenodo.46717","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/46717",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-02-29T15:16:13.000Z","2016-02-29T15:16:14.000Z","2016","2020-07-27T16:27:18.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.48946","dois","10.5281/zenodo.48946","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/48946",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,1,0,1,0,0,0,0,1,"2016-04-04T16:38:15.000Z","2016-04-04T16:38:16.000Z","2016","2020-07-27T17:28:37.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.55425","dois","10.5281/zenodo.55425","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/55425",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-06-13T10:24:38.000Z","2016-06-13T10:24:39.000Z","2016","2020-07-27T18:30:04.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.56966","dois","10.5281/zenodo.56966","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/56966",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-07-03T21:56:14.000Z","2016-07-03T21:56:15.000Z","2016","2020-07-27T18:57:56.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.59231","dois","10.5281/zenodo.59231","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/59231",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-08-01T20:23:01.000Z","2016-08-01T20:23:02.000Z","2016","2020-07-27T19:14:09.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.61454","dois","10.5281/zenodo.61454","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/61454",11,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,1,0,1,0,0,0,0,0,"2016-09-03T23:00:08.000Z","2016-09-03T23:00:08.000Z","2016","2020-09-18T13:19:32.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.61753","dois","10.5281/zenodo.61753","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/61753",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-09-07T21:23:20.000Z","2016-09-07T21:23:21.000Z","2016","2020-09-18T13:22:41.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.166293","dois","10.5281/zenodo.166293","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/166293",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-11-11T15:47:58.000Z","2016-11-11T15:47:59.000Z","2016","2020-09-18T15:24:44.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.166296","dois","10.5281/zenodo.166296","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/166296",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-11-11T15:49:27.000Z","2016-11-11T15:49:27.000Z","2016","2020-09-18T15:24:45.000Z","cern.zenodo","clients",NA
"Virginia Tech","10.5281/zenodo.166298","dois","10.5281/zenodo.166298","Zenodo",NA,NA,NA,NA,NA,NA,NA,2016,NA,"COMP","misc","article","SoftwareSourceCode",NA,"Software",NA,"https://zenodo.org/record/166298",1,"http://datacite.org/schema/kernel-4",NA,TRUE,"findable",NA,0,0,1,0,0,0,0,1,"2016-11-11T15:53:22.000Z","2016-11-11T15:53:22.000Z","2016","2020-09-18T15:24:46.000Z","cern.zenodo","clients",NA
