"publisher","Cornell","Duke","Michigan","Minnesota","Virginia Tech","Washington U","Total"
"ENCODE Data Coordination Center",12,1006,138566,0,0,0,139584
"Faculty Opinions Ltd",674,2574,2516,1682,64,502,8012
"Dryad",656,469,496,528,158,149,2456
"figshare",597,238,373,231,294,543,2276
"Institutional Repository",157,224,537,774,426,95,2213
"Zenodo",957,276,385,323,159,66,2166
"ICPSR",92,125,1287,99,6,49,1658
"Harvard Dataverse",251,289,308,123,28,0,999
"Taylor & Francis",105,30,75,52,43,155,460
"Neotoma Paleoecological Database",0,4,0,210,0,0,214
"VTTI",0,0,1,2,113,0,116
"MassIVE",30,34,12,11,1,12,100
"SciELO journals",22,12,12,6,10,12,74
"Authorea, Inc.",12,10,16,13,0,14,65
"Borealis",11,15,9,20,5,0,60
"OBIS-SEAMAP",0,49,0,0,0,0,49
"Future Science Group",4,2,0,4,22,12,44
"SAGE Journals",2,2,12,2,0,18,36
"KNB Data Repository",19,10,2,2,1,0,34
"IEEE DataPort",1,0,15,10,1,4,31
"Biological and Chemical Oceanography Data Management Office",6,13,10,0,0,0,29
"NASA Space Physics Data Facility",0,0,0,29,0,0,29
"Databrary",15,13,0,0,0,0,28
"Virginia Tech Transportation Institute",0,0,0,0,27,0,27
"UCAR/NCAR - Earth Observing Laboratory",4,0,21,0,0,0,25
"Biological and Chemical Oceanography Data Management Office (BCO-DMO)",5,2,7,10,0,0,24
"The Royal Society",10,0,6,0,0,4,20
"CSIRO",4,1,0,14,0,0,19
"DOE Joint Genome Institute",4,6,4,3,0,0,17
"UNC Dataverse",1,9,4,2,1,0,17
"NSF Arctic Data Center",0,15,0,1,0,0,16
"ImmPort",0,9,3,3,0,1,16
"Washington University in St. Louis",0,0,0,0,0,16,16
"DataverseNL",4,2,3,6,0,0,15
"Optica Publishing Group",0,2,11,0,0,2,15
"CyVerse Data Commons",12,0,0,2,0,0,14
"Geochemistry, Geophysics, Geosystems",1,0,0,12,0,0,13
"QDR Main Collection",4,6,2,0,0,0,12
"G-Node",0,4,2,6,0,0,12
"Cornell Institute for Social and Economic Research",11,0,0,0,0,0,11
"Root",0,0,11,0,0,0,11
"SBGrid Data Bank",8,0,1,0,0,1,10
"NOAA Global Monitoring Laboratory",0,0,7,3,0,0,10
"AmeriFlux; University of Minnesota; USDA-ARS",0,0,0,10,0,0,10
"International Federation of Digital Seismograph Networks",7,0,1,0,1,0,9
"Stanford Digital Repository",0,0,9,0,0,0,9
"Arctic Data Center",0,0,7,2,0,0,9
"CaltechDATA",4,0,4,0,0,0,8
"USDA Forest Service",2,0,2,4,0,0,8
"Environmental System Science Data Infrastructure for a Virtual Ecosystem; Defense Coastal/Estuarine Research Program (DCERP)",0,4,1,0,3,0,8
"World Values Survey Association",0,0,8,0,0,0,8
"PARADIM, an NSF Materials Innovation Platform",6,0,0,0,0,0,6
"Johns Hopkins University Data Archive",0,4,2,0,0,0,6
"GSA Journals",0,2,0,2,2,0,6
"DataverseNO",0,0,6,0,0,0,6
"Portail Data INRAE",0,0,6,0,0,0,6
"Recherche Data Gouv",0,0,0,6,0,0,6
"Cornell University Museum of Vertebrates",5,0,0,0,0,0,5
"DR-NTU (Data)",5,0,0,0,0,0,5
"University of St Andrews",3,0,0,1,0,1,5
