"publisher","resourceTypeGeneral","count"
"Cornell University Library","Text",4338
"Cornell University Library","Dataset",123
"Cornell University Library","Software",41
"Cornell University Library","Other",8
"Cornell University Library","Journal",4
"Cornell University Library","Report",3
"Cornell University Library","Dissertation",2
"Cornell University Library","Collection",1
"Cornell University Library","ConferencePaper",1
"Cornell University Library","JournalArticle",1
"Data Repository for the University of Minnesota (DRUM)","Dataset",675
"Data Repository for the University of Minnesota (DRUM)","Software",1
"University Libraries, Virginia Tech","Dataset",290
"University Libraries, Virginia Tech","Software",16
