"resourceTypeGeneral","Cornell","Duke","Michigan","Minnesota","Virginia Tech","Washington U","Total"
"Dataset",6381,7408,154909,4971,1419,1682,176770
"Text",7893,1803,2568,1299,677,5265,19505
"Software",1166,763,1223,638,626,624,5040
"Collection",558,429,639,335,189,837,2987
"Image",493,235,544,382,224,440,2318
"Dissertation",3,0,0,0,0,936,939
"Audiovisual",185,114,270,164,49,108,890
"Other",66,37,164,62,52,38,419
"JournalArticle",80,39,67,59,19,8,272
"Preprint",56,39,97,36,28,10,266
"Report",16,11,23,3,3,26,82
"ConferencePaper",23,0,23,17,15,0,78
NA,1,13,16,0,0,0,30
"InteractiveResource",0,1,5,4,3,2,15
"Workflow",4,0,4,2,0,0,10
"Model",1,1,4,4,0,0,10
"BookChapter",0,0,2,6,0,2,10
"Journal",5,0,0,0,0,0,5
"DataPaper",0,2,2,0,0,0,4
"Book",0,0,2,2,0,0,4
"OutputManagementPlan",0,2,1,0,0,0,3
"PeerReview",0,0,1,0,0,0,1
"ConferenceProceeding",0,0,0,0,0,1,1
