"","institution","publisher","count"
"1","Cornell","Cornell University Library",4522
"2","Cornell","Ithaca, NY : Cornell University Library",4
"3","Cornell","arXiv: Cornell University Library",2
"4","Cornell","Cornell University. Population and Development Program",1
"5","Duke","Duke University Press",51
"6","Duke","Duke University Center on Globalization, Governance & Competitiveness",15
"7","Duke","Duke University",12
"8","Duke","Centre for Ageing Research and Education, Duke-NUS Medical School",8
"9","Duke","Duke Center on Globalization, Governance & Competitiveness (Duke CGGC)",8
"10","Duke","Duke University Herbarium",5
"11","Duke","Duke CGGC (Duke University, Center on Globalization, Governance & Competitiveness)",3
"12","Duke","Duke Center on Globalization, Governance & Competitiveness (Duke CGGC) and RTI International",2
"13","Duke","Duke University Center on Globalization, Governance and Competitiveness. Commissioned by the World Bank.",2
"14","Duke","Duke University, Center on Globalization, Governance & Competitiveness (Duke CGGC)",2
"15","Duke","Duke University: Center on Globalization, Governance & Competitiveness",2
"16","Duke","International Growth Center/Duke University CGGC",2
"17","Duke","Department of ECE, Duke University",1
"18","Duke","Duke Center on Globalization, Governance & Competitiveness",1
"19","Duke","Duke Center on Globalization, Governance and Competitiveness",1
"20","Duke","Duke University School of Law",1
"21","Duke","Duke UP",1
"22","Duke","Nicholas School of the Environment and Earth Sciences, Duke University",1
"23","Duke","Norman C Duke and MangroveWatch Ltd",1
"24","Duke","North Carolina Institute of Medicine and The Duke Endowment",1
"25","Michigan","Michigan State University",2710
"26","Michigan","My University",1108
"27","Michigan","University of Michigan",545
"28","Michigan","University of Southern California Digital Library (USC.DL)",500
"29","Michigan","Inter-University Consortium for Political and Social Research",164
"30","Michigan","Columbia University",115
"31","Michigan","University of Michigan - Deep Blue Data",61
"32","Michigan","The University of North Carolina at Chapel Hill University Libraries",54
"33","Michigan","Purdue University Graduate School",44
"34","Michigan","The University of British Columbia",44
"35","Michigan","Apollo - University of Cambridge Repository",34
"36","Michigan","Digital Repository at the University of Maryland",27
"37","Michigan","University of Virginia",25
"38","Michigan","University of Illinois at Chicago",20
"39","Michigan","University of British Columbia",17
"40","Michigan","University of Oxford",15
"41","Michigan","Museum of Paleontology, The University of Michigan",14
"42","Michigan","Carnegie Mellon University",13
"43","Michigan","University of Michigan. Institute for Social Research",13
"44","Michigan","Utah State University",13
"45","Michigan","Inter-university Consortium for Political and Social Research",11
"46","Michigan","Université d'Ottawa / University of Ottawa",10
"47","Michigan","Data Repository for the University of Minnesota (DRUM)",9
"48","Michigan","University of Wyoming",8
"49","Michigan","Michigan State University Extension, Michigan Natural Features Inventory",7
"50","Michigan","Ann Arbor, MI: Millennium Project, University of Michigan",6
"51","Michigan","Georgia State University",6
"52","Michigan","IUPUI University Library",6
"53","Michigan","The University of Texas at Austin",6
"54","Michigan","University of Canterbury",6
"55","Michigan","University of Michigan Museum of Zoology",6
"56","Michigan","Western Michigan University",6
"57","Michigan","FluxNet; University of Toledo / Michigan State University",5
"58","Michigan","RWTH Aachen University",5
"59","Michigan","University of Melbourne",5
"60","Michigan","University of Michigan Press",5
"61","Michigan","University of Nevada, Las Vegas",5
"62","Michigan","Aristotle University of Thessaloniki",4
"63","Michigan","Macquarie University",4
"64","Michigan","Minneapolis, MN: University of Minnesota",4
"65","Michigan","Museum of Cultural and Natural History - Central Michigan University",4
"66","Michigan","Old Dominion University Libraries",4
"67","Michigan","Temple University. Libraries",4
"68","Michigan","Trinity College Dublin, the University of Dublin",4
"69","Michigan","University of Kentucky",4
"70","Michigan","University of Massachusetts Amherst",4
"71","Michigan","University of Utah",4
"72","Michigan","AmeriFlux; Michigan State University",3
"73","Michigan","AmeriFlux; University of Toledo / Michigan State University",3
"74","Michigan","Ann Arbor, MI: University of Michigan Press",3
"75","Michigan","Cornell University",3
