"publicationYear","publisher","count"
2021,"ASU Library Research Data Repository",2
2022,"ASU Library Research Data Repository",1
2021,"Borealis",5
2022,"Cornell University Library",1
2021,"Data Repository for the University of Minnesota (DRUM)",1
2020,"Digital Rocks Portal",3
2016,"Digital Rocks Portal University of Texas at Austin",1
2012,"Dryad",1
2013,"Dryad",3
2014,"Dryad",5
2015,"Dryad",12
2016,"Dryad",15
2017,"Dryad",11
2018,"Dryad",15
2019,"Dryad",35
2020,"Dryad",15
2021,"Dryad",31
2022,"Dryad",10
2022,"Environmental System Science Data Infrastructure for a Virtual Ecosystem",1
2013,"Environmental System Science Data Infrastructure for a Virtual Ecosystem; Defense Coastal/Estuarine Research Program (DCERP)",1
2018,"Environmental System Science Data Infrastructure for a Virtual Ecosystem; Defense Coastal/Estuarine Research Program (DCERP)",2
2021,"figshare",1
2022,"figshare",60
2022,"Future Science Group",6
2013,"Harvard Dataverse",2
2018,"Harvard Dataverse",2
2019,"Harvard Dataverse",19
2020,"Harvard Dataverse",23
2021,"Harvard Dataverse",6
2022,"Harvard Dataverse",2
2021,"ICPSR - Interuniversity Consortium for Political and Social Research",4
2022,"ICPSR - Interuniversity Consortium for Political and Social Research",2
2021,"IEEE DataPort",1
2021,"International Federation of Digital Seismograph Networks",1
2017,"International Potato Center",3
2016,"KNB Data Repository",1
2021,"MassIVE",1
2022,"Microbiology Society",2
2019,"Northwest Knowledge Network",1
2018,"SciELO journals",2
2019,"SciELO journals",4
2020,"Taylor & Francis",2
2022,"Taylor & Francis",14
2020,"UNC Dataverse",1
2021,"Univeristy of Leeds",1
2021,"University Libraries, Virginia Tech",4
2022,"University Libraries, Virginia Tech",67
2021,"Virginia Polytechnic Inst. and State Univ. (Virginia Tech), Blacksburg, VA (United States)",1
2014,"Virginia Tech Transportation Institute",4
2015,"Virginia Tech Transportation Institute",12
2016,"Virginia Tech Transportation Institute",8
2017,"Virginia Tech Transportation Institute",3
2016,"VTTI",27
2017,"VTTI",32
2018,"VTTI",16
2019,"VTTI",28
2020,"VTTI",9
2022,"VTTI",1
2017,"Zenodo",13
2018,"Zenodo",9
2019,"Zenodo",20
2020,"Zenodo",21
2021,"Zenodo",63
2022,"Zenodo",24
