"doi","publisher","container_1","publicationYear","language","ris","bibtex","citeproc","schemaOrg","resourceType","resourceTypeGeneral","version","url","contentUrl","metadataVersion","schemaVersion","source","isActive","state","reason","viewCount","downloadCount","referenceCount","citationCount","partCount","partOfCount","versionCount","versionOfCount","created","registered","published","updated","data_id","data_type","container_type","container_title","container_volume","container_firstPage","container_identifier","container_identifierType","container_lastPage","container_issue"
"10.5061/dryad.rk5fp6n9","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.rk5fp6n9",NA,15,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,77,9,1,1,1,0,0,0,"2012-01-05T21:18:31Z","2012-01-05T21:18:31Z",NA,"2021-11-05T19:39:53Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.3b2q4g1m","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.3b2q4g1m",NA,14,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,65,10,1,1,1,0,0,0,"2012-01-19T20:01:44Z","2012-01-19T20:01:44Z",NA,"2021-11-05T20:32:10Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.4232/1.11090","GESIS Data Archive",NA,2012,"en","DATA","misc","dataset","Dataset",NA,"Dataset","2.0.0","https://search.gesis.org/research_data/ZA5400?doi=10.4232/1.11090",NA,10,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,0,0,0,0,0,0,0,0,"2012-01-24T08:28:37Z","2012-01-24T08:28:37Z",NA,"2021-08-30T11:10:30Z","gesis.gesis","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.d2c619hd","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.d2c619hd",NA,13,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,223,97,1,1,4,0,0,0,"2012-02-09T23:18:24Z","2012-02-09T23:18:23Z",NA,"2021-11-05T21:02:43Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.nf91079h","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.nf91079h",NA,21,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,104,25,1,1,1,0,0,0,"2012-03-21T16:05:28Z","2012-03-21T16:05:28Z",NA,"2021-11-05T22:22:58Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.5k3t47p0","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.5k3t47p0",NA,29,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,623,162,1,1,1,0,0,0,"2012-04-09T16:04:29Z","2012-04-09T16:04:27Z",NA,"2021-11-06T18:17:15Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.41131ns8","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.41131ns8",NA,14,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,159,67,1,1,2,0,0,0,"2012-04-10T15:38:53Z","2012-04-10T15:38:52Z",NA,"2021-11-05T23:13:19Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.b70pn","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.b70pn",NA,20,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,115,32,1,1,4,0,0,0,"2012-05-08T15:38:25Z","2012-05-08T15:38:22Z",NA,"2021-11-06T11:45:43Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.j35fc","Dryad",NA,2013,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.j35fc",NA,22,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,213,35,1,1,2,0,0,0,"2012-06-12T16:40:01Z","2012-06-12T16:40:00Z",NA,"2021-11-06T18:18:39Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
"10.5061/dryad.c3h3v","Dryad",NA,2012,"en","DATA","misc","dataset","Dataset","dataset","Dataset","1","http://datadryad.org/stash/dataset/doi:10.5061/dryad.c3h3v",NA,19,"http://datacite.org/schema/kernel-4","mds",TRUE,"findable",NA,82,14,1,1,3,0,0,0,"2012-06-13T16:43:28Z","2012-06-13T16:43:26Z",NA,"2021-11-06T00:52:59Z","dryad.dryad","clients",NA,NA,NA,NA,NA,NA,NA,NA
